F_kVcm,E0_meV,E1_meV,DeltaE10_meV,zbar_nm,Pin0_localization,Pin1_localization
65.0,-357.9034316336822,-320.0775309067294,37.82590072695276,-3.6202818512129644,0.9113093884050705,7.773320191007874e-19
70.0,-359.71561474794953,-353.4067199882133,6.308894759736251,-3.628449335724366,0.9106334715528773,1.0509842269289031e-18
75.0,-361.53187976221096,-387.131524519025,-25.59964475681405,-3.6366095775342933,0.9099523958561211,2.6050537591937623e-21
80.0,-391.1267461071757,-421.21714252971066,-30.09039642253495,-66.00874147656863,3.4988121558267436e-20,2.2424263400325506e-23
85.0,-424.3048265275973,-455.63380351072834,-31.328976983131003,-66.69435364470603,4.0980894049056217e-22,4.322965214935567e-25
90.0,-457.81248839339696,-490.35578931131766,-32.54330091792079,-67.32825121681678,9.768223923645401e-24,1.1670892619030476e-26
95.0,-491.62554238498495,-525.3606891714858,-33.735146786500906,-67.91690039120343,3.168329467819121e-25,3.8594738671314594e-28
100.0,-525.7227471012441,-560.6288235562552,-34.9060764550111,-68.46567080333982,1.2387362042421729e-26,2.0443320464089102e-29
105.0,-560.085321078007,-596.1427920396058,-36.057470961598725,-68.97906561018291,5.528011907697837e-28,7.964846096123703e-31
110.0,-594.6965548851846,-631.88711391217,-37.19055902698552,-69.46089489283632,3.482431074689141e-29,3.5066170076649157e-32
115.0,-629.5414991754508,-667.8479391585349,-38.30643998308418,-69.91440822912008,1.7600542224550536e-30,1.6823963656788286e-33
120.0,-664.6067111674809,-704.0128135745051,-39.40610240702423,-70.34239737121746,9.863132693679022e-32,1.0258334754458493e-34
125.0,-699.8800466467684,-740.370486056614,-40.49043940984567,-70.74727670970368,5.89779113411059e-33,5.974585497241555e-36
130.0,-735.3504878233409,-776.9107491131327,-41.56026128979179,-71.13114700888796,3.787735083032811e-34,4.410883990860983e-37
135.0,-771.0079997279761,-813.6243058161116,-42.61630608813544,-71.49584638892028,2.782485686906739e-35,7.298657263416291e-38
140.0,-806.8434095372389,-850.50265799695,-43.65924845971111,-71.84299147571609,1.9519452052629457e-36,9.06050674303956e-39
145.0,-842.8483044806741,-887.5380116583443,-44.68970717767022,-72.17401089200209,2.623320825204067e-37,7.683361617375708e-39
150.0,-879.0149449287185,-924.7231964511487,-45.708251522430295,-72.49017272532272,3.5843706867732494e-37,1.6075086319373504e-38
155.0,-915.3361899747625,-962.0515967270496,-46.71540675228715,-72.79260721739455,1.4000738525185182e-37,5.6999657771261573e-39
160.0,-951.8054333713455,-999.517092184264,-47.7116588129184,-73.0823256309403,8.625409748717116e-38,3.409208923706378e-39
165.0,-988.416548102333,-1037.114006514493,-48.697458412160174,-73.36023603537946,8.02325351165179e-39,3.0850968926962184e-40
170.0,-1025.163838201228,-1074.8370627633103,-49.673224562082446,-73.62715659115645,2.2017034727901918e-38,6.460971297469743e-40
175.0,-1062.0419966836764,-1112.6813443553776,-50.63934767170105,-73.88382678987657,2.1797641783132057e-38,6.3535715016086495e-40
180.0,-1099.04606866636,-1150.6422609247425,-51.59619225838248,-74.13091701330868,2.0364711608777523e-39,7.410601413885253e-41
185.0,-1136.1714189067907,-1188.7155182411066,-52.5440993343161,-74.36903670172212,1.1252066088706457e-38,2.9004243750739226e-40
190.0,-1173.41370312946,-1226.8970916440876,-53.48338851462791,-74.59874136544035,9.904442903283996e-40,2.990206006871912e-41
195.0,-1210.7688426087466,-1265.1832024948517,-54.41435988610521,-74.82053862913511,1.189527721073898e-39,2.728693437419371e-41
200.0,-1248.2330015650068,-1303.5702972341044,-55.33729566909748,-75.03489346332223,2.4037672942097366e-39,5.250829205545721e-41
